*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 1: 244.252614ms
Mesure 2: 226.356152ms
Mesure 3: 238.288973ms
Mesure 4: 233.342829ms
Mesure 5: 229.402136ms
Mesure 6: 232.968671ms
Mesure 7: 236.514294ms
Mesure 8: 239.31897ms
Mesure 9: 241.484849ms
Mesure 10: 236.315409ms
Moyenne: 235.824489ms

Mesures individuelles pour OU binaire:
Mesure 1: 238.984406ms
Mesure 2: 235.910087ms
Mesure 3: 233.582253ms
Mesure 4: 244.234516ms
Mesure 5: 233.119643ms
Mesure 6: 232.622086ms
Mesure 7: 233.691022ms
Mesure 8: 253.950231ms
Mesure 9: 234.815645ms
Mesure 10: 229.295036ms
Moyenne: 237.020492ms

Mesures individuelles pour XOR binaire:
Mesure 1: 239.92766ms
Mesure 2: 231.214206ms
Mesure 3: 239.902424ms
Mesure 4: 240.971995ms
Mesure 5: 234.856584ms
Mesure 6: 239.127602ms
Mesure 7: 236.371124ms
Mesure 8: 232.381707ms
Mesure 9: 235.715865ms
Mesure 10: 235.122811ms
Moyenne: 236.559197ms

Mesures individuelles pour Egalité:
Mesure 1: 354.567129ms
Mesure 2: 356.858343ms
Mesure 3: 361.107706ms
Mesure 4: 360.919975ms
Mesure 5: 357.216198ms
Mesure 6: 351.15745ms
Mesure 7: 371.947021ms
Mesure 8: 352.920027ms
Mesure 9: 362.043618ms
Mesure 10: 358.94126ms
Moyenne: 358.767872ms

Mesures individuelles pour Inégalité:
Mesure 1: 364.659388ms
Mesure 2: 360.04431ms
Mesure 3: 357.577807ms
Mesure 4: 360.039613ms
Mesure 5: 359.813214ms
Mesure 6: 358.859768ms
Mesure 7: 353.678253ms
Mesure 8: 354.171093ms
Mesure 9: 355.676899ms
Mesure 10: 370.33449ms
Moyenne: 359.485483ms

Mesures individuelles pour Supérieur strictement:
Mesure 1: 403.489732ms
Mesure 2: 398.804138ms
Mesure 3: 385.742111ms
Mesure 4: 405.648479ms
Mesure 5: 387.928959ms
Mesure 6: 397.617656ms
Mesure 7: 381.161483ms
Mesure 8: 400.58451ms
Mesure 9: 405.615817ms
Mesure 10: 424.512309ms
Moyenne: 399.110519ms

Mesures individuelles pour Supérieur ou égal:
Mesure 1: 397.475646ms
Mesure 2: 390.762863ms
Mesure 3: 402.029062ms
Mesure 4: 380.560829ms
Mesure 5: 396.521657ms
Mesure 6: 388.812399ms
Mesure 7: 397.857541ms
Mesure 8: 397.62414ms
Mesure 9: 402.018943ms
Mesure 10: 392.122368ms
Moyenne: 394.578544ms

*** Avec FheUint32:
Mesures individuelles pour Addition:
Mesure 1: 425.43697ms
Mesure 2: 431.133804ms
Mesure 3: 424.930202ms
Mesure 4: 410.084846ms
Mesure 5: 414.65213ms
Mesure 6: 397.678739ms
Mesure 7: 406.687197ms
Mesure 8: 406.603306ms
Mesure 9: 404.912167ms
Mesure 10: 400.0614ms
Moyenne: 412.218076ms

Mesures individuelles pour Soustraction:
Mesure 1: 408.039232ms
Mesure 2: 376.651876ms
Mesure 3: 392.533795ms
Mesure 4: 392.372392ms
Mesure 5: 377.250582ms
Mesure 6: 379.984523ms
Mesure 7: 382.722189ms
Mesure 8: 375.76713ms
Mesure 9: 379.881343ms
Mesure 10: 382.043622ms
Moyenne: 384.724668ms

Mesures individuelles pour Multiplication:
Mesure 1: 3.495207264s
Mesure 2: 3.549991451s
Mesure 3: 3.482638696s
Mesure 4: 3.537162971s
Mesure 5: 3.506993779s
Mesure 6: 3.486194464s
Mesure 7: 3.54660875s
Mesure 8: 3.479585867s
Mesure 9: 3.516380248s
Mesure 10: 3.505815621s
Moyenne: 3.510657911s

Mesures individuelles pour ET binaire:
Mesure 1: 118.594655ms
Mesure 2: 114.759193ms
Mesure 3: 116.585965ms
Mesure 4: 116.505842ms
Mesure 5: 114.080207ms
Mesure 6: 116.725664ms
Mesure 7: 114.015411ms
Mesure 8: 114.254725ms
Mesure 9: 119.994115ms
Mesure 10: 112.282156ms
Moyenne: 115.779793ms

Mesures individuelles pour OU binaire:
Mesure 1: 113.10379ms
Mesure 2: 115.417881ms
Mesure 3: 119.581231ms
Mesure 4: 121.290228ms
Mesure 5: 118.352415ms
Mesure 6: 124.062046ms
Mesure 7: 120.070566ms
Mesure 8: 118.56205ms
Mesure 9: 119.864826ms
Mesure 10: 129.028221ms
Moyenne: 119.933325ms

Mesures individuelles pour XOR binaire:
Mesure 1: 115.587971ms
Mesure 2: 115.594552ms
Mesure 3: 124.858582ms
Mesure 4: 114.964846ms
Mesure 5: 114.631381ms
Mesure 6: 115.687186ms
Mesure 7: 119.424286ms
Mesure 8: 119.799374ms
Mesure 9: 115.829644ms
Mesure 10: 112.683371ms
Moyenne: 116.906119ms

Mesures individuelles pour Egalité:
Mesure 1: 179.946789ms
Mesure 2: 198.161404ms
Mesure 3: 193.459649ms
Mesure 4: 193.51626ms
Mesure 5: 185.358771ms
Mesure 6: 190.756954ms
Mesure 7: 200.840526ms
Mesure 8: 194.288509ms
Mesure 9: 188.8727ms
Mesure 10: 184.598436ms
Moyenne: 190.979999ms

Mesures individuelles pour Inégalité:
Mesure 1: 183.496774ms
Mesure 2: 202.716534ms
Mesure 3: 195.459162ms
Mesure 4: 201.822244ms
Mesure 5: 192.300151ms
Mesure 6: 177.812722ms
Mesure 7: 193.269219ms
Mesure 8: 192.195904ms
Mesure 9: 192.213328ms
Mesure 10: 188.550843ms
Moyenne: 191.983688ms

Mesures individuelles pour Supérieur strictement:
Mesure 1: 231.412572ms
Mesure 2: 241.995925ms
Mesure 3: 215.185196ms
Mesure 4: 236.226429ms
Mesure 5: 224.788808ms
Mesure 6: 228.427476ms
Mesure 7: 226.434264ms
Mesure 8: 230.932475ms
Mesure 9: 237.224512ms
Mesure 10: 226.286492ms
Moyenne: 229.891414ms

Mesures individuelles pour Supérieur ou égal:
Mesure 1: 227.904836ms
Mesure 2: 230.793954ms
Mesure 3: 228.350049ms
Mesure 4: 236.760401ms
Mesure 5: 220.084439ms
Mesure 6: 224.685143ms
Mesure 7: 227.077133ms
Mesure 8: 243.012308ms
Mesure 9: 227.90982ms
Mesure 10: 209.971184ms
Moyenne: 227.654926ms

*** Avec FheUint16:
Mesures individuelles pour Addition:
Mesure 1: 218.929308ms
Mesure 2: 198.990819ms
Mesure 3: 201.944357ms
Mesure 4: 199.98055ms
Mesure 5: 200.243978ms
Mesure 6: 195.798587ms
Mesure 7: 197.511994ms
Mesure 8: 194.651954ms
Mesure 9: 194.603118ms
Mesure 10: 198.770418ms
Moyenne: 200.142508ms

Mesures individuelles pour Soustraction:
Mesure 1: 178.454034ms
Mesure 2: 170.374888ms
Mesure 3: 167.229919ms
Mesure 4: 166.663363ms
Mesure 5: 167.928022ms
Mesure 6: 168.645365ms
Mesure 7: 165.628511ms
Mesure 8: 170.6872ms
Mesure 9: 171.248761ms
Mesure 10: 169.954412ms
Moyenne: 169.681447ms

Mesures individuelles pour Multiplication:
Mesure 1: 1.049480697s
Mesure 2: 985.585781ms
Mesure 3: 985.300186ms
Mesure 4: 1.015632502s
Mesure 5: 978.767188ms
Mesure 6: 958.954421ms
Mesure 7: 1.000366051s
Mesure 8: 1.002427927s
Mesure 9: 1.007922195s
Mesure 10: 970.448594ms
Moyenne: 995.488554ms

Mesures individuelles pour ET binaire:
Mesure 1: 55.961498ms
Mesure 2: 57.703975ms
Mesure 3: 55.918287ms
Mesure 4: 57.180505ms
Mesure 5: 55.64138ms
Mesure 6: 57.567091ms
Mesure 7: 55.927216ms
Mesure 8: 56.674701ms
Mesure 9: 58.409449ms
Mesure 10: 55.851999ms
Moyenne: 56.68361ms

Mesures individuelles pour OU binaire:
Mesure 1: 55.40339ms
Mesure 2: 55.334168ms
Mesure 3: 55.215176ms
Mesure 4: 55.220552ms
Mesure 5: 56.71939ms
Mesure 6: 66.690801ms
Mesure 7: 58.082559ms
Mesure 8: 54.972017ms
Mesure 9: 57.301778ms
Mesure 10: 55.427691ms
Moyenne: 57.036752ms

Mesures individuelles pour XOR binaire:
Mesure 1: 63.961646ms
